Date : 2021-02-08 14:55:03
Directory : /Users/meldiron/Desktop/eteam
Total : 1599 files,  374892 codes, 24393 comments, 31280 blanks, all 430565 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| postleaf                                                                                                                                           |        199 |     32,560 |      6,801 |      3,022 |     42,383 |
| postleaf/.github                                                                                                                                   |          3 |         50 |          0 |         41 |         91 |
| postleaf/assets                                                                                                                                    |         36 |      6,634 |      2,391 |          1 |      9,026 |
| postleaf/assets/css                                                                                                                                |         17 |      3,635 |         13 |          0 |      3,648 |
| postleaf/assets/fonts                                                                                                                              |          1 |      2,671 |          0 |          1 |      2,672 |
| postleaf/assets/images                                                                                                                             |          3 |          3 |          0 |          0 |          3 |
| postleaf/assets/js                                                                                                                                 |         15 |        325 |      2,378 |          0 |      2,703 |
| postleaf/source                                                                                                                                    |        146 |     14,166 |      4,313 |      2,465 |     20,944 |
| postleaf/source/controllers                                                                                                                        |         36 |      3,202 |      1,015 |        511 |      4,728 |
| postleaf/source/controllers/admin                                                                                                                  |         15 |        475 |        104 |        113 |        692 |
| postleaf/source/controllers/api                                                                                                                    |         12 |      1,989 |        793 |        308 |      3,090 |
| postleaf/source/controllers/theme                                                                                                                  |          8 |        691 |        105 |         80 |        876 |
| postleaf/source/images                                                                                                                             |          3 |         29 |          1 |          0 |         30 |
| postleaf/source/languages                                                                                                                          |          8 |      2,108 |          0 |          8 |      2,116 |
| postleaf/source/middleware                                                                                                                         |          4 |        143 |         57 |         51 |        251 |
| postleaf/source/models                                                                                                                             |          7 |        728 |        210 |        108 |      1,046 |
| postleaf/source/modules                                                                                                                            |         32 |      3,269 |      1,855 |        746 |      5,870 |
| postleaf/source/modules/helpers                                                                                                                    |          3 |        764 |        656 |        161 |      1,581 |
| postleaf/source/modules/includes                                                                                                                   |         12 |        494 |        167 |        113 |        774 |
| postleaf/source/routers                                                                                                                            |          3 |        449 |        237 |         67 |        753 |
| postleaf/source/scripts                                                                                                                            |         15 |      1,835 |        577 |        454 |      2,866 |
| postleaf/source/styles                                                                                                                             |         38 |      2,403 |        361 |        520 |      3,284 |
| postleaf/source/styles/partials                                                                                                                    |         21 |      1,584 |        290 |        343 |      2,217 |
| postleaf/themes                                                                                                                                    |          6 |      2,856 |         26 |        427 |      3,309 |
| postleaf/themes/casper2-theme                                                                                                                      |          6 |      2,856 |         26 |        427 |      3,309 |
| postleaf/themes/casper2-theme/assets                                                                                                               |          4 |      2,829 |         26 |        418 |      3,273 |
| postleaf/themes/casper2-theme/assets/css                                                                                                           |          3 |      2,770 |         18 |        400 |      3,188 |
| postleaf/themes/casper2-theme/assets/js                                                                                                            |          1 |         59 |          8 |         18 |         85 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language              | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------+------------+------------+------------+------------+
| /Users/meldiron/Desktop/eteam/AngularClient/.prettierrc                                                                                            | JSON                  |          7 |          0 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularClient/Dockerfile                                                                                             | Docker                |          7 |          0 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularClient/README.md                                                                                              | Markdown              |         14 |          0 |         14 |         28 |
| /Users/meldiron/Desktop/eteam/AngularClient/angular.json                                                                                           | JSON                  |        110 |         23 |          0 |        133 |
| /Users/meldiron/Desktop/eteam/AngularClient/e2e/protractor.conf.js                                                                                 | JavaScript            |         24 |          6 |          2 |         32 |
| /Users/meldiron/Desktop/eteam/AngularClient/e2e/src/app.e2e-spec.ts                                                                                | TypeScript            |         18 |          1 |          5 |         24 |
| /Users/meldiron/Desktop/eteam/AngularClient/e2e/src/app.po.ts                                                                                      | TypeScript            |          9 |          0 |          3 |         12 |
| /Users/meldiron/Desktop/eteam/AngularClient/e2e/tsconfig.json                                                                                      | JSON                  |         13 |          0 |          1 |         14 |
| /Users/meldiron/Desktop/eteam/AngularClient/karma.conf.js                                                                                          | JavaScript            |         29 |          2 |          2 |         33 |
| /Users/meldiron/Desktop/eteam/AngularClient/package-lock.json                                                                                      | JSON                  |     15,222 |          0 |          1 |     15,223 |
| /Users/meldiron/Desktop/eteam/AngularClient/package.json                                                                                           | JSON                  |         14 |         47 |          0 |         61 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/about/about.component.html                                                                     | HTML                  |         70 |         10 |          2 |         82 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/about/about.component.scss                                                                     | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/about/about.component.spec.ts                                                                  | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/about/about.component.ts                                                                       | TypeScript            |         11 |          0 |          5 |         16 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/app-routing.module.ts                                                                          | TypeScript            |         36 |          0 |          4 |         40 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/app.component.html                                                                             | HTML                  |         10 |         11 |          6 |         27 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/app.component.scss                                                                             | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/app.component.spec.ts                                                                          | TypeScript            |         31 |          0 |          5 |         36 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/app.component.ts                                                                               | TypeScript            |         17 |          0 |          3 |         20 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/app.module.ts                                                                                  | TypeScript            |         85 |          1 |          7 |         93 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/blog/blog.component.html                                                                       | HTML                  |        110 |          5 |          2 |        117 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/blog/blog.component.scss                                                                       | SCSS                  |         68 |          0 |         10 |         78 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/blog/blog.component.spec.ts                                                                    | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/blog/blog.component.ts                                                                         | TypeScript            |         26 |          0 |          5 |         31 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/client/client.component.html                                                                   | HTML                  |         29 |          7 |          3 |         39 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/client/client.component.scss                                                                   | SCSS                  |          5 |          0 |          1 |          6 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/client/client.component.spec.ts                                                                | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/client/client.component.ts                                                                     | TypeScript            |         11 |          0 |          5 |         16 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/clients/clients.component.html                                                                 | HTML                  |         60 |         38 |          3 |        101 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/clients/clients.component.scss                                                                 | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/clients/clients.component.spec.ts                                                              | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/clients/clients.component.ts                                                                   | TypeScript            |         12 |          0 |          3 |         15 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.html                                                                 | HTML                  |        130 |         16 |          6 |        152 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.scss                                                                 | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.spec.ts                                                              | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.ts                                                                   | TypeScript            |         27 |          0 |          4 |         31 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.html                                                               | HTML                  |         62 |          2 |          1 |         65 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.scss                                                               | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.spec.ts                                                            | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.ts                                                                 | TypeScript            |         12 |          0 |          3 |         15 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/data.service.spec.ts                                                                           | TypeScript            |          9 |          0 |          4 |         13 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/data.service.ts                                                                                | TypeScript            |        291 |        130 |         27 |        448 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.html                                                                     | HTML                  |         10 |          5 |          4 |         19 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.scss                                                                     | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.spec.ts                                                                  | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.ts                                                                       | TypeScript            |         16 |          0 |          4 |         20 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.html                                                                   | HTML                  |         22 |         39 |          3 |         64 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.scss                                                                   | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.spec.ts                                                                | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.ts                                                                     | TypeScript            |         14 |          0 |          4 |         18 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/header/header.component.html                                                                   | HTML                  |        304 |         90 |         16 |        410 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/header/header.component.scss                                                                   | SCSS                  |          5 |          0 |          1 |          6 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/header/header.component.spec.ts                                                                | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/header/header.component.ts                                                                     | TypeScript            |         60 |          0 |          9 |         69 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/lang.guard.spec.ts                                                                             | TypeScript            |         12 |          0 |          4 |         16 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/lang.guard.ts                                                                                  | TypeScript            |         22 |          0 |          4 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/lib/modal/modal.component.html                                                                 | HTML                  |         61 |          2 |          3 |         66 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/lib/modal/modal.component.scss                                                                 | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/lib/modal/modal.component.spec.ts                                                              | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/lib/modal/modal.component.ts                                                                   | TypeScript            |         14 |          0 |          4 |         18 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/mail.service.spec.ts                                                                           | TypeScript            |          9 |          0 |          4 |         13 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/mail.service.ts                                                                                | TypeScript            |          7 |          0 |          3 |         10 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/map/map.component.html                                                                         | HTML                  |          5 |          3 |          1 |          9 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/map/map.component.scss                                                                         | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/map/map.component.spec.ts                                                                      | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/map/map.component.ts                                                                           | TypeScript            |         11 |          0 |          5 |         16 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/more-features/more-features.component.html                                                     | HTML                  |         48 |         23 |          3 |         74 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/more-features/more-features.component.scss                                                     | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/more-features/more-features.component.spec.ts                                                  | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/more-features/more-features.component.ts                                                       | TypeScript            |         12 |          0 |          3 |         15 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pages/calc/calc.component.html                                                                 | HTML                  |        230 |          6 |         10 |        246 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pages/calc/calc.component.scss                                                                 | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pages/calc/calc.component.spec.ts                                                              | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pages/calc/calc.component.ts                                                                   | TypeScript            |         25 |          0 |          5 |         30 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/parralax/parralax.component.html                                                               | HTML                  |         83 |         10 |          2 |         95 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/parralax/parralax.component.scss                                                               | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/parralax/parralax.component.spec.ts                                                            | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/parralax/parralax.component.ts                                                                 | TypeScript            |         12 |          0 |          3 |         15 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/portfolio/portfolio.component.html                                                             | HTML                  |         67 |         10 |          2 |         79 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/portfolio/portfolio.component.scss                                                             | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/portfolio/portfolio.component.spec.ts                                                          | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/portfolio/portfolio.component.ts                                                               | TypeScript            |         11 |          0 |          3 |         14 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pricing-new/pricing-new.component.html                                                         | HTML                  |        116 |          6 |          9 |        131 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pricing-new/pricing-new.component.scss                                                         | SCSS                  |          4 |          0 |          1 |          5 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pricing-new/pricing-new.component.spec.ts                                                      | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/pricing-new/pricing-new.component.ts                                                           | TypeScript            |         36 |          0 |          3 |         39 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/remove.directive.spec.ts                                                                       | TypeScript            |          7 |          0 |          2 |          9 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/remove.directive.ts                                                                            | TypeScript            |         13 |          0 |          2 |         15 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/service/service.component.html                                                                 | HTML                  |         64 |          2 |          5 |         71 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/service/service.component.scss                                                                 | SCSS                  |          9 |          0 |          2 |         11 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/service/service.component.spec.ts                                                              | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/service/service.component.ts                                                                   | TypeScript            |         11 |          0 |          5 |         16 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider-new/slider-new.component.html                                                           | HTML                  |        168 |          7 |         11 |        186 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider-new/slider-new.component.scss                                                           | SCSS                  |          7 |          0 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider-new/slider-new.component.spec.ts                                                        | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider-new/slider-new.component.ts                                                             | TypeScript            |         25 |          0 |          6 |         31 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider/slider.component.html                                                                   | HTML                  |        434 |         18 |         13 |        465 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider/slider.component.scss                                                                   | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider/slider.component.spec.ts                                                                | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/slider/slider.component.ts                                                                     | TypeScript            |         11 |          0 |          5 |         16 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/team/team.component.html                                                                       | HTML                  |         64 |          8 |          1 |         73 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/team/team.component.scss                                                                       | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/team/team.component.spec.ts                                                                    | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/team/team.component.ts                                                                         | TypeScript            |         12 |          0 |          3 |         15 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/utils.service.spec.ts                                                                          | TypeScript            |          9 |          0 |          4 |         13 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/app/utils.service.ts                                                                               | TypeScript            |         26 |          2 |          6 |         34 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/agency/blog-details.html                                                                    | HTML                  |        765 |         56 |         36 |        857 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/agency/blog-list.html                                                                       | HTML                  |        648 |         60 |         33 |        741 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/agency/css/style.css                                                                        | CSS                   |      3,434 |        136 |        440 |      4,010 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/agency/js/map.js                                                                            | JavaScript            |        132 |          2 |          0 |        134 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/agency/js/script.js                                                                         | JavaScript            |        437 |         42 |         31 |        510 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/i18n/en.json                                                                                | JSON                  |        320 |          0 |          0 |        320 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/feature1.svg                                                                          | XML                   |        192 |          1 |          1 |        194 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/feature2.svg                                                                          | XML                   |        282 |          1 |          1 |        284 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/feature3.svg                                                                          | XML                   |         54 |          1 |          1 |         56 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/feature4.svg                                                                          | XML                   |         99 |          1 |          1 |        101 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/feature5.svg                                                                          | XML                   |        186 |          1 |          1 |        188 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/feature6.svg                                                                          | XML                   |         89 |          1 |          1 |         91 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/index.svg                                                                             | XML                   |        160 |          1 |          1 |        162 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/intro.svg                                                                             | XML                   |          1 |          0 |          0 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/introB.svg                                                                            | XML                   |         60 |          1 |          1 |         62 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/more1.svg                                                                             | XML                   |         44 |          1 |          1 |         46 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/more2.svg                                                                             | XML                   |        109 |          1 |          1 |        111 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/more3.svg                                                                             | XML                   |        147 |          1 |          1 |        149 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/team1.svg                                                                             | XML                   |        175 |          1 |          1 |        177 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/team2.svg                                                                             | XML                   |        206 |          1 |          1 |        208 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/team3.svg                                                                             | XML                   |         48 |          1 |          1 |         50 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/icons/team4.svg                                                                             | XML                   |        120 |          1 |          1 |        122 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/locales.json                                                                                | JSON                  |          4 |          0 |          1 |          5 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/sk.json                                                                                     | JSON                  |        322 |          0 |          0 |        322 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/technologies/angular.svg                                                                    | XML                   |         40 |          1 |          1 |         42 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/technologies/node.svg                                                                       | XML                   |         41 |          1 |          1 |         43 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/LineIcons.min.css                                                                | CSS                   |          1 |          0 |          0 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/balloon.css                                                                      | CSS                   |        272 |          0 |          3 |        275 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/bundle.min.css                                                                   | CSS                   |          5 |         22 |          5 |         32 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/cubeportfolio.min.css                                                            | CSS                   |          1 |          9 |          1 |         11 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/drift-basic.min.css                                                              | CSS                   |          1 |          0 |          0 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/jquery-ui.bundle.css                                                             | CSS                   |          1 |          4 |          0 |          5 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/jquery.fancybox.min.css                                                          | CSS                   |          1 |          0 |          0 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/mediaelementplayer.min.css                                                       | CSS                   |          1 |          0 |          0 |          1 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/owl.carousel.min.css                                                             | CSS                   |          1 |          5 |          0 |          6 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/revolution-settings.min.css                                                      | CSS                   |          1 |         12 |          0 |         13 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/select2.min.css                                                                  | CSS                   |          1 |          0 |          1 |          2 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/slick-theme.css                                                                  | CSS                   |        170 |          4 |         31 |        205 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/slick.css                                                                        | CSS                   |        104 |          1 |         15 |        120 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/swiper.min.css                                                                   | CSS                   |          1 |         11 |          1 |         13 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/css/wow.css                                                                          | CSS                   |      2,331 |         16 |        398 |      2,745 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/fonts/LineIcons.svg                                                                  | XML                   |        492 |          0 |          0 |        492 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/fonts/fa-brands-400.svg                                                              | XML                   |      1,256 |          4 |          1 |      1,261 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/fonts/fa-regular-400.svg                                                             | XML                   |        467 |          4 |          1 |        472 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/fonts/fa-solid-900.svg                                                               | XML                   |      2,756 |          4 |          1 |      2,761 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/fonts/revicons.svg                                                                   | XML                   |         54 |          0 |        106 |        160 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/fonts/slick.svg                                                                      | XML                   |         13 |          0 |          2 |         15 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/img/mejs-controls.svg                                                                | XML                   |          1 |          0 |          1 |          2 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/Drift.min.js                                                                      | JavaScript            |          1 |          1 |          0 |          2 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/TweenMax.min.js                                                                   | JavaScript            |          4 |         13 |          0 |         17 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/bootstrap-input-spinner.js                                                        | JavaScript            |        258 |          8 |         34 |        300 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/bundle.min.js                                                                     | JavaScript            |          2 |          7 |          1 |         10 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/date.js                                                                           | JavaScript            |          1 |          0 |          1 |          2 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.addon.snow.min.js                                           | JavaScript            |          9 |          6 |          1 |         16 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.extension.actions.min.js                                    | JavaScript            |          1 |          6 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.extension.beforeafter.min.js                                | JavaScript            |        543 |          5 |          3 |        551 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.extension.carousel.min.js                                   | JavaScript            |          1 |          6 |          0 |          7 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.extension.kenburn.min.js                                    | JavaScript            |          1 |          6 |          0 |          7 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.extension.layeranimation.min.js                             | JavaScript            |      2,501 |         10 |          1 |      2,512 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.extension.migration.min.js                                  | JavaScript            |          1 |          6 |          0 |          7 |
| /Users/meldiron/Desktop/eteam/AngularClient/src/assets/vendor/js/extensions/revolution.extension.navigation.min.js                                 | JavaScript            |          1 |          6 |          0 |          7 |
